                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.66734,                0.45331,                 1.0354,                0.88228,                0.87173,                  0.866,                0.58268,                0.78483,                0.56795,                 1.1152,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.6601,                0.43457,                 1.0467,                 0.9007,                0.75401,                0.83784,                0.59176,                 0.7303,                0.58563,                 1.0782,             0.00041275,             0.00041275,             0.00041275
                     78,                0.64192,                0.42765,                 1.0334,                0.94027,                0.82107,                0.91298,                0.61822,                0.73026,                0.58522,                  1.069,             0.00039625,             0.00039625,             0.00039625
                     79,                0.62524,                0.42657,                 1.0219,                 0.9366,                 0.8559,                 0.9015,                0.60134,                0.75858,                0.59462,                 1.0916,             0.00037974,             0.00037974,             0.00037974
                     80,                0.61066,                0.41567,                 1.0163,                0.82697,                0.93397,                0.91065,                0.61486,                0.74626,                 0.5774,                 1.0855,             0.00036324,             0.00036324,             0.00036324
                     81,                0.62381,                0.41604,                  1.022,                0.82936,                0.83249,                0.86877,                0.58815,                0.72454,                0.55322,                 1.0613,             0.00034674,             0.00034674,             0.00034674
                     82,                0.61017,                0.41237,                 1.0255,                0.93619,                0.80117,                0.87723,                0.60255,                  0.752,                0.55675,                 1.0859,             0.00033023,             0.00033023,             0.00033023
                     83,                0.61372,                0.41464,                  1.029,                0.88562,                0.90829,                0.89477,                  0.614,                0.71358,                0.54799,                 1.0659,             0.00031373,             0.00031373,             0.00031373
                     84,                0.61581,                 0.4106,                 1.0153,                0.88972,                0.87525,                0.90571,                 0.6212,                0.72737,                0.55738,                 1.0696,             0.00029723,             0.00029723,             0.00029723
                     85,                0.59936,                0.40387,                 1.0045,                0.93653,                0.86821,                0.90219,                0.61363,                 0.7557,                0.55826,                 1.0866,             0.00028072,             0.00028072,             0.00028072
                     86,                0.59244,                0.40593,                  1.018,                0.93664,                0.86631,                0.88908,                0.60598,                0.79061,                0.58258,                 1.1129,             0.00026422,             0.00026422,             0.00026422
                     87,                0.61023,                 0.4075,                 1.0175,                 0.9401,                0.87173,                0.90467,                0.63414,                0.71225,                 0.5537,                 1.0658,             0.00024772,             0.00024772,             0.00024772
                     88,                0.59644,                0.40394,                 1.0128,                 0.9407,                0.86821,                0.93094,                 0.6549,                0.72575,                0.53863,                 1.0633,             0.00023121,             0.00023121,             0.00023121
                     89,                0.59785,                0.40558,                 1.0166,                0.83891,                0.92408,                0.91412,                 0.6584,                0.74443,                0.57427,                 1.0677,             0.00021471,             0.00021471,             0.00021471
                     90,                0.58586,                0.38898,                 1.0121,                0.94377,                0.82685,                0.91681,                0.63719,                0.73575,                0.56645,                 1.0634,             0.00019821,             0.00019821,             0.00019821
                     91,                0.50331,                0.31878,                0.94629,                0.89537,                0.86467,                0.90393,                0.63176,                 0.7663,                0.55813,                 1.0926,              0.0001817,              0.0001817,              0.0001817
                     92,                0.48985,                0.29315,                0.94461,                0.93641,                0.86055,                0.91049,                0.62118,                0.74226,                0.56519,                 1.0796,              0.0001652,              0.0001652,              0.0001652
                     93,                0.48178,                0.28637,                0.92634,                0.94402,                0.86153,                 0.9033,                0.62972,                0.72184,                 0.5503,                 1.0701,              0.0001487,              0.0001487,              0.0001487
                     94,                0.45684,                 0.2753,                0.91652,                0.84787,                0.90482,                0.90632,                0.62825,                0.75811,                0.55988,                 1.1026,             0.00013219,             0.00013219,             0.00013219
                     95,                0.46831,                0.27519,                0.92353,                0.94356,                0.85499,                0.91755,                 0.6467,                0.73317,                0.55337,                 1.0923,             0.00011569,             0.00011569,             0.00011569
                     96,                0.45872,                0.26572,                0.91966,                0.93213,                0.86117,                0.92652,                0.62219,                0.73099,                 0.5541,                 1.0851,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.45509,                0.26708,                0.92989,                0.93391,                0.86469,                0.93005,                0.63205,                0.74075,                0.55983,                 1.0848,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.44912,                0.27302,                0.92378,                0.93781,                0.86767,                0.93365,                0.64216,                0.73966,                 0.5628,                 1.0851,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.45527,                0.26524,                0.92205,                0.93103,                0.87173,                0.93026,                0.64233,                0.71802,                 0.5467,                 1.0734,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.43951,                0.26272,                0.91535,                0.93353,                0.86784,                0.93335,                 0.6315,                0.73352,                  0.549,                 1.0852,             3.3173e-05,             3.3173e-05,             3.3173e-05
